RUN	MiTest2	mitest2	1678766815045	 	3.9.2
USER	Mi Escenario	END	1678766842360
USER	Mi Escenario	START	1678766842559
REQUEST		petición	1678766842559	1678766842563	OK	 
USER	Mi Escenario	END	1678766842563
USER	Mi Escenario	START	1678766842746
REQUEST		petición	1678766842746	1678766842750	OK	 
USER	Mi Escenario	END	1678766842751
USER	Mi Escenario	START	1678766842951
REQUEST		petición	1678766842950	1678766842956	OK	 
USER	Mi Escenario	END	1678766842956
USER	Mi Escenario	START	1678766843153
REQUEST		petición	1678766843153	1678766843157	OK	 
USER	Mi Escenario	END	1678766843157
USER	Mi Escenario	START	1678766843342
REQUEST		petición	1678766843341	1678766843345	OK	 
USER	Mi Escenario	END	1678766843346
USER	Mi Escenario	START	1678766843544
REQUEST		petición	1678766843544	1678766843548	OK	 
USER	Mi Escenario	END	1678766843549
USER	Mi Escenario	START	1678766843749
REQUEST		petición	1678766843748	1678766843753	OK	 
USER	Mi Escenario	END	1678766843754
USER	Mi Escenario	START	1678766843952
REQUEST		petición	1678766843951	1678766843957	OK	 
USER	Mi Escenario	END	1678766843957
USER	Mi Escenario	START	1678766844155
REQUEST		petición	1678766844155	1678766844160	OK	 
USER	Mi Escenario	END	1678766844160
USER	Mi Escenario	START	1678766844341
REQUEST		petición	1678766844340	1678766844345	OK	 
USER	Mi Escenario	END	1678766844345
USER	Mi Escenario	START	1678766844550
REQUEST		petición	1678766844549	1678766844553	OK	 
USER	Mi Escenario	END	1678766844554
USER	Mi Escenario	START	1678766844748
REQUEST		petición	1678766844747	1678766844753	OK	 
USER	Mi Escenario	END	1678766844754
USER	Mi Escenario	START	1678766844953
REQUEST		petición	1678766844952	1678766844957	OK	 
USER	Mi Escenario	END	1678766844957
USER	Mi Escenario	START	1678766845152
REQUEST		petición	1678766845152	1678766845156	OK	 
USER	Mi Escenario	END	1678766845157
USER	Mi Escenario	START	1678766845354
REQUEST		petición	1678766845353	1678766845357	OK	 
USER	Mi Escenario	END	1678766845357
USER	Mi Escenario	START	1678766845541
REQUEST		petición	1678766845541	1678766845545	OK	 
USER	Mi Escenario	END	1678766845545
USER	Mi Escenario	START	1678766845746
REQUEST		petición	1678766845746	1678766845749	OK	 
USER	Mi Escenario	END	1678766845750
USER	Mi Escenario	START	1678766845949
REQUEST		petición	1678766845948	1678766845953	OK	 
USER	Mi Escenario	END	1678766845954
USER	Mi Escenario	START	1678766846151
REQUEST		petición	1678766846150	1678766846154	OK	 
USER	Mi Escenario	END	1678766846155
USER	Mi Escenario	START	1678766846354
REQUEST		petición	1678766846353	1678766846357	OK	 
USER	Mi Escenario	END	1678766846358
