USER	Crear datos	END	1679619643557
REQUEST		Delete	1679619643537	1679619643559	OK	 
USER	Borrar datos	END	1679619643559
USER	Obtener datos	START	1679619643631
REQUEST		Select	1679619643630	1679619643643	OK	 
USER	Obtener datos	END	1679619643643
USER	Actualizar datos	START	1679619643723
USER	Obtener datos	START	1679619643738
USER	Borrar datos	START	1679619643739
USER	Crear datos	START	1679619643740
REQUEST		Update	1679619643723	1679619643745	OK	 
USER	Actualizar datos	END	1679619643746
REQUEST		Create	1679619643740	1679619643756	OK	 
USER	Crear datos	END	1679619643756
REQUEST		Select	1679619643738	1679619643757	OK	 
USER	Obtener datos	END	1679619643758
REQUEST		Delete	1679619643739	1679619643761	OK	 
USER	Borrar datos	END	1679619643761
USER	Obtener datos	START	1679619643831
REQUEST		Select	1679619643830	1679619643844	OK	 
USER	Obtener datos	END	1679619643844
USER	Crear datos	START	1679619643938
USER	Borrar datos	START	1679619643938
USER	Obtener datos	START	1679619643938
REQUEST		Create	1679619643938	1679619643962	OK	 
USER	Crear datos	END	1679619643962
REQUEST		Select	1679619643938	1679619643965	OK	 
USER	Obtener datos	END	1679619643966
REQUEST		Delete	1679619643938	1679619643969	OK	 
USER	Borrar datos	END	1679619643970
USER	Obtener datos	START	1679619644032
REQUEST		Select	1679619644032	1679619644053	OK	 
USER	Obtener datos	END	1679619644053
USER	Obtener datos	START	1679619644127
USER	Borrar datos	START	1679619644127
USER	Crear datos	START	1679619644128
REQUEST		Create	1679619644127	1679619644154	OK	 
USER	Crear datos	END	1679619644155
REQUEST		Select	1679619644126	1679619644156	OK	 
USER	Obtener datos	END	1679619644157
REQUEST		Delete	1679619644126	1679619644158	OK	 
USER	Borrar datos	END	1679619644158
USER	Actualizar datos	START	1679619644235
USER	Obtener datos	START	1679619644235
REQUEST		Select	1679619644235	1679619644250	OK	 
USER	Obtener datos	END	1679619644250
REQUEST		Update	1679619644235	1679619644261	OK	 
USER	Actualizar datos	END	1679619644261
USER	Crear datos	START	1679619644328
USER	Borrar datos	START	1679619644328
USER	Obtener datos	START	1679619644329
REQUEST		Delete	1679619644327	1679619644352	OK	 
USER	Borrar datos	END	1679619644353
REQUEST		Create	1679619644327	1679619644356	OK	 
REQUEST		Select	1679619644329	1679619644356	OK	 
USER	Crear datos	END	1679619644357
USER	Obtener datos	END	1679619644357
USER	Obtener datos	START	1679619644436
REQUEST		Select	1679619644435	1679619644449	OK	 
USER	Obtener datos	END	1679619644450
USER	Obtener datos	START	1679619644528
USER	Borrar datos	START	1679619644528
USER	Crear datos	START	1679619644528
REQUEST		Select	1679619644528	1679619644545	OK	 
USER	Obtener datos	END	1679619644545
REQUEST		Delete	1679619644528	1679619644556	OK	 
REQUEST		Create	1679619644528	1679619644556	OK	 
USER	Borrar datos	END	1679619644556
USER	Crear datos	END	1679619644556
USER	Obtener datos	START	1679619644636
REQUEST		Select	1679619644636	1679619644650	OK	 
USER	Obtener datos	END	1679619644650
USER	Obtener datos	START	1679619644729
USER	Borrar datos	START	1679619644729
USER	Actualizar datos	START	1679619644729
USER	Crear datos	START	1679619644730
REQUEST		Delete	1679619644729	1679619644754	OK	 
USER	Borrar datos	END	1679619644754
REQUEST		Select	1679619644729	1679619644755	OK	 
USER	Obtener datos	END	1679619644756
REQUEST		Create	1679619644730	1679619644759	OK	 
USER	Crear datos	END	1679619644759
REQUEST		Update	1679619644729	1679619644760	OK	 
USER	Actualizar datos	END	1679619644760
USER	Obtener datos	START	1679619644838
REQUEST		Select	1679619644838	1679619644850	OK	 
USER	Obtener datos	END	1679619644851
USER	Crear datos	START	1679619644933
USER	Obtener datos	START	1679619644933
USER	Borrar datos	START	1679619644933
REQUEST		Create	1679619644933	1679619644949	OK	 
REQUEST		Select	1679619644933	1679619644949	OK	 
USER	Obtener datos	END	1679619644949
USER	Crear datos	END	1679619644949
REQUEST		Delete	1679619644933	1679619644951	OK	 
USER	Borrar datos	END	1679619644951
USER	Obtener datos	START	1679619645027
REQUEST		Select	1679619645026	1679619645040	OK	 
USER	Obtener datos	END	1679619645040
USER	Borrar datos	START	1679619645138
USER	Crear datos	START	1679619645144
USER	Obtener datos	START	1679619645148
REQUEST		Create	1679619645143	1679619645228	OK	 
REQUEST		Delete	1679619645138	1679619645228	OK	 
USER	Crear datos	END	1679619645228
USER	Borrar datos	END	1679619645228
USER	Actualizar datos	START	1679619645229
USER	Obtener datos	START	1679619645229
REQUEST		Select	1679619645147	1679619645231	OK	 
USER	Obtener datos	END	1679619645231
REQUEST		Update	1679619645229	1679619645262	OK	 
USER	Actualizar datos	END	1679619645262
REQUEST		Select	1679619645229	1679619645264	OK	 
USER	Obtener datos	END	1679619645265
USER	Crear datos	START	1679619645337
USER	Obtener datos	START	1679619645338
USER	Borrar datos	START	1679619645339
REQUEST		Create	1679619645336	1679619645377	OK	 
USER	Crear datos	END	1679619645377
REQUEST		Select	1679619645336	1679619645385	OK	 
USER	Obtener datos	END	1679619645385
REQUEST		Delete	1679619645339	1679619645388	OK	 
USER	Borrar datos	END	1679619645389
USER	Obtener datos	START	1679619645429
REQUEST		Select	1679619645429	1679619645449	OK	 
USER	Obtener datos	END	1679619645450
USER	Crear datos	START	1679619645537
USER	Borrar datos	START	1679619645537
USER	Obtener datos	START	1679619645538
REQUEST		Select	1679619645538	1679619645554	OK	 
USER	Obtener datos	END	1679619645555
REQUEST		Delete	1679619645537	1679619645555	OK	 
REQUEST		Create	1679619645537	1679619645555	OK	 
USER	Crear datos	END	1679619645556
USER	Borrar datos	END	1679619645556
USER	Obtener datos	START	1679619645630
REQUEST		Select	1679619645630	1679619645642	OK	 
USER	Obtener datos	END	1679619645642
USER	Obtener datos	START	1679619645739
USER	Borrar datos	START	1679619645739
USER	Crear datos	START	1679619645739
USER	Actualizar datos	START	1679619645740
REQUEST		Create	1679619645738	1679619645770	OK	 
USER	Crear datos	END	1679619645770
REQUEST		Delete	1679619645739	1679619645773	OK	 
USER	Borrar datos	END	1679619645774
REQUEST		Update	1679619645740	1679619645777	OK	 
USER	Actualizar datos	END	1679619645777
REQUEST		Select	1679619645738	1679619645778	OK	 
USER	Obtener datos	END	1679619645778
USER	Obtener datos	START	1679619645832
REQUEST		Select	1679619645831	1679619645846	OK	 
USER	Obtener datos	END	1679619645846
USER	Obtener datos	START	1679619645925
USER	Borrar datos	START	1679619645925
USER	Crear datos	START	1679619645925
REQUEST		Select	1679619645924	1679619645945	OK	 
USER	Obtener datos	END	1679619645946
REQUEST		Delete	1679619645924	1679619645952	OK	 
REQUEST		Create	1679619645924	1679619645952	OK	 
USER	Crear datos	END	1679619645952
USER	Borrar datos	END	1679619645952
USER	Obtener datos	START	1679619646033
REQUEST		Select	1679619646033	1679619646048	OK	 
USER	Obtener datos	END	1679619646048
USER	Crear datos	START	1679619646124
USER	Borrar datos	START	1679619646124
USER	Obtener datos	START	1679619646124
REQUEST		Create	1679619646123	1679619646147	OK	 
USER	Crear datos	END	1679619646148
REQUEST		Select	1679619646124	1679619646149	OK	 
USER	Obtener datos	END	1679619646150
REQUEST		Delete	1679619646123	1679619646151	OK	 
USER	Borrar datos	END	1679619646151
USER	Obtener datos	START	1679619646234
USER	Actualizar datos	START	1679619646237
REQUEST		Select	1679619646232	1679619646254	OK	 
USER	Obtener datos	END	1679619646254
REQUEST		Update	1679619646236	1679619646264	OK	 
USER	Actualizar datos	END	1679619646265
USER	Obtener datos	START	1679619646324
USER	Crear datos	START	1679619646324
USER	Borrar datos	START	1679619646339
REQUEST		Create	1679619646323	1679619646348	OK	 
REQUEST		Select	1679619646324	1679619646348	OK	 
USER	Crear datos	END	1679619646348
USER	Obtener datos	END	1679619646348
REQUEST		Delete	1679619646339	1679619646354	OK	 
USER	Borrar datos	END	1679619646354
USER	Obtener datos	START	1679619646432
REQUEST		Select	1679619646432	1679619646448	OK	 
USER	Obtener datos	END	1679619646449
USER	Obtener datos	START	1679619646526
USER	Crear datos	START	1679619646526
USER	Borrar datos	START	1679619646527
REQUEST		Create	1679619646526	1679619646552	OK	 
USER	Crear datos	END	1679619646552
REQUEST		Select	1679619646526	1679619646555	OK	 
REQUEST		Delete	1679619646526	1679619646555	OK	 
USER	Borrar datos	END	1679619646555
USER	Obtener datos	END	1679619646555
USER	Obtener datos	START	1679619646635
REQUEST		Select	1679619646634	1679619646652	OK	 
USER	Obtener datos	END	1679619646652
USER	Obtener datos	START	1679619646728
USER	Actualizar datos	START	1679619646728
USER	Crear datos	START	1679619646728
USER	Borrar datos	START	1679619646729
REQUEST		Select	1679619646728	1679619646747	OK	 
USER	Obtener datos	END	1679619646748
REQUEST		Create	1679619646728	1679619646758	OK	 
USER	Crear datos	END	1679619646758
REQUEST		Update	1679619646728	1679619646761	OK	 
REQUEST		Delete	1679619646729	1679619646761	OK	 
USER	Borrar datos	END	1679619646761
USER	Actualizar datos	END	1679619646761
USER	Obtener datos	START	1679619646835
REQUEST		Select	1679619646835	1679619646853	OK	 
USER	Obtener datos	END	1679619646854
USER	Crear datos	START	1679619646930
